ISBN,Title,Author,Publisher,Category,Quantity,PublicationYear,Language,Description
978-0-06-112008-4,"To Kill a Mockingbird","Harper Lee","J. B. Lippincott","Fiction",5,1960,"English","A gripping tale of racial injustice and childhood innocence"
978-0-451-52494-2,"1984","George Orwell","Secker & Warburg","Fiction",3,1949,"English","Dystopian novel about totalitarianism"
978-0-14-028329-7,"The Great Gatsby","F. Scott Fitzgerald","Scribner","Fiction",4,1925,"English","Jazz Age romance and social commentary"
978-0-262-03384-8,"Introduction to Algorithms","Cormen et al","MIT Press","Technology",2,2009,"English","Comprehensive computer science algorithms textbook"
978-3-16-148410-0,"A Brief History of Time","Stephen Hawking","Bantam Dell","Science",3,1988,"English","Popular science exploration of cosmology"
978-0-7475-3269-9,"Harry Potter and the Philosopher's Stone","J.K. Rowling","Bloomsbury","Children",6,1997,"English","First book in the Harry Potter series for young wizards"
978-0-451-62993-1,"Pride and Prejudice","Jane Austen","Dover Publications","Fiction",4,1813,"English","Classic romance and social commentary"
978-0-316-76948-0,"Catcher in the Rye","J.D. Salinger","Little, Brown","Fiction",3,1951,"English","Coming-of-age novel about teenage years"
978-0-385-33312-0,"The Da Vinci Code","Dan Brown","Doubleday","Fiction",5,2003,"English","Mystery thriller involving art and history"
978-0-06-853262-1,"Educated","Tara Westover","Random House","Non-Fiction",4,2018,"English","Memoir about the author's pursuit of education"
