ISBN,Title,Author,Publisher,Category,Quantity,PublicationYear,Language,Description
978-0-143-03943-3,"A Man of the People","Chinua Achebe","Doubleday","Fiction",10,1966,"English","A satirical novel about politics and corruption in post-colonial Africa"
978-0-451-52494-2,"1984","George Orwell","Secker & Warburg","Fiction",5,1949,"English","Dystopian novel exploring totalitarianism and government control"
978-0-7432-7356-5,"To Kill a Mockingbird","Harper Lee","Lippincott","Fiction",8,1960,"English","Story of racial injustice and moral growth in the American South"
978-0-14-028329-7,"Things Fall Apart","Chinua Achebe","Anchor Books","Fiction",12,1958,"English","Heart of Africa: the collision of civilizations in Nigeria"
978-0-06-112008-4,"The Handmaid's Tale","Margaret Atwood","McClelland & Stewart","Fiction",4,1985,"English","Dystopian tale of a woman in a totalitarian society"
978-0-19-280201-5,"The History of the Peloponnesian War","Thucydides","Oxford University Press","History",3,2008,"English","Ancient Greek history and the conflict between Athens and Sparta"
978-0-393-32495-9,"The Origin of Species","Charles Darwin","John Murray","Science",2,1859,"English","Revolutionary work on evolution and natural selection"
978-0-06-093546-7,"I Am Malala","Malala Yousafzai","Weidenfeld & Nicolson","Biography",6,2013,"English","Story of a girl who fought for education and won the Nobel Prize"
978-0-385-33312-0,"Beloved","Toni Morrison","Knopf","Fiction",5,1987,"English","Powerful story of slavery and its aftermath in America"
978-0-140-12679-8,"One Hundred Years of Solitude","Gabriel García Márquez","Harper & Row","Fiction",7,1967,"English","Magical realism masterpiece from Latin America"
978-1-4555-8641-0,"The Poisonwood Bible","Barbara Kingsolver","HarperCollins","Fiction",4,1998,"English","American family's experience living in Congo"
978-0-06-085052-4,"Americanah","Chimamanda Ngozi Adichie","Anchor Books","Fiction",6,2013,"English","Modern story of race, identity, and migration between Nigeria and America"
978-0-674-02213-9,"Sapiens","Yuval Noah Harari","Harper","Non-Fiction",5,2014,"English","A brief history of humankind from Stone Age to modern times"
978-0-7432-7357-2,"The Kite Runner","Khaled Hosseini","Riverhead Books","Fiction",9,2003,"English","Tale of friendship and redemption set in Afghanistan"
978-0-393-08042-9,"The Brothers Karamazov","Fyodor Dostoyevsky","Dover Publications","Fiction",3,1879,"English","Deep exploration of faith, doubt, and morality"
978-0-374-52973-3,"The Left Hand of Darkness","Ursula K. Le Guin","Ace Books","Science Fiction",4,1969,"English","Science fiction exploring gender and society on alien planet"
978-0-670-81302-8,"Midnight's Children","Salman Rushdie","Jonathan Cape","Fiction",3,1981,"English","Epic tale of India's independence and children born at midnight"
978-0-14-025948-2,"Purple Hibiscus","Chimamanda Ngozi Adichie","Anchor Books","Fiction",5,2003,"English","Coming of age story in Nigeria with cultural and religious themes"
978-0-06-112007-7,"The Great Gatsby","F. Scott Fitzgerald","Scribner","Fiction",10,1925,"English","Jazz Age masterpiece of ambition and love in 1920s America"
978-0-06-083588-6,"Educated","Tara Westover","Penguin Press","Memoir",7,2018,"English","Woman's journey from survivalist family to education and independence"
978-0-393-35006-0,"Brave New World","Aldous Huxley","Chatto & Windus","Fiction",6,1932,"English","Dystopian vision of a technologically advanced but spiritually hollow society"
978-0-14-029329-6,"Life of Pi","Yann Martel","Knopf","Fiction",6,2001,"English","Survival story of a boy stranded in the ocean with a tiger"
978-0-06-085051-7,"Half of a Yellow Sun","Chimamanda Ngozi Adichie","Anchor Books","Fiction",5,2006,"English","Epic story set during the Nigerian-Biafran War"
978-0-19-953556-0,"A History of Ancient Egypt","John Romer","Macmillan","History",2,2007,"English","Comprehensive overview of ancient Egyptian civilization"
978-0-670-88120-2,"Kenya: Land of the Lion","Karen Blixen","Random House","Travel",2,1937,"English","Tales from life in colonial Kenya"
978-0-375-40615-5,"Things We Lost in the Fire","Mariana Enriquez","Graywolf Press","Fiction",3,2016,"English","Short stories of violence and loss in modern Latin America"
978-0-06-211706-9,"The Hate U Give","Angie Thomas","Balzer + Bray","Young Adult",8,2015,"English","Powerful YA novel about police brutality and activism"
978-0-385-33313-7,"Song of Solomon","Toni Morrison","Knopf","Fiction",4,1977,"English","Novel exploring identity and family across generations"
978-0-14-011919-9,"One Day in the Life of Ivan Denisovich","Alexander Solzhenitsyn","Penguin","Fiction",3,1962,"English","Brief but powerful story of life in Soviet labor camp"
978-0-06-112006-0,"Jane Eyre","Charlotte Brontë","Smith, Elder & Co","Fiction",7,1847,"English","Gothic romance of a woman's struggle for independence and love"
